frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"3889","1759281151.645793058","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64894","7106","··········S·",,,,,"78"
"3890","1759281151.645793141","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64893","12174","··········S·",,,,,"78"
"3891","1759281151.645793225","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64892","1700","··········S·",,,,,"78"
"3892","1759281151.645892099","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8031","64898","·······A·R··",,,,,"54"
"3893","1759281151.645935016","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","9091","64897","·······A·R··",,,,,"54"
"3894","1759281151.645941016","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1121","64896","·······A·R··",,,,,"54"
"3895","1759281151.645945516","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2910","64895","·······A·R··",,,,,"54"
"3896","1759281151.645950141","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7106","64894","·······A·R··",,,,,"54"
"3897","1759281151.645953974","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","12174","64893","·······A·R··",,,,,"54"
"3898","1759281151.645959641","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1700","64892","·······A·R··",,,,,"54"
"3899","1759281151.647127012","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64899","23502","····CE····S·",,,,,"78"
"3900","1759281151.647127512","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64900","7627","····CE····S·",,,,,"78"
"3901","1759281151.647127637","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64901","1322","····CE····S·",,,,,"78"
"3902","1759281151.647127721","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64902","668","····CE····S·",,,,,"78"
"3903","1759281151.647127804","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64903","25734","····CE····S·",,,,,"78"
"3904","1759281151.647127887","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64904","2394","····CE····S·",,,,,"78"
"3905","1759281151.647245512","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","23502","64899","·······A·R··",,,,,"54"
"3906","1759281151.647274595","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7627","64900","·······A·R··",,,,,"54"
"3907","1759281151.647280178","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1322","64901","·······A·R··",,,,,"54"
"3908","1759281151.647284637","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","668","64902","·······A·R··",,,,,"54"
"3909","1759281151.647289803","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","25734","64903","·······A·R··",,,,,"54"
"3910","1759281151.647293970","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2394","64904","·······A·R··",,,,,"54"
"3911","1759281151.647301595","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64905","9220","····CE····S·",,,,,"78"
"3912","1759281151.647308887","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","9220","64905","·······A·R··",,,,,"54"
"3913","1759281151.647385511","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64906","7","····CE····S·",,,,,"78"
"3914","1759281151.647399803","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7","64906","·······A·R··",,,,,"54"
"3915","1759281152.647868586","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64906","7","··········S·",,,,,"78"
"3916","1759281152.647869586","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64905","9220","··········S·",,,,,"78"
"3917","1759281152.647869669","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64904","2394","··········S·",,,,,"78"
"3918","1759281152.647869752","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64903","25734","··········S·",,,,,"78"
"3919","1759281152.647869836","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64902","668","··········S·",,,,,"78"
"3920","1759281152.647869919","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64901","1322","··········S·",,,,,"78"
"3921","1759281152.647870002","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64900","7627","··········S·",,,,,"78"
"3922","1759281152.647870086","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64899","23502","··········S·",,,,,"78"
"3923","1759281152.647986752","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7","64906","·······A·R··",,,,,"54"
"3924","1759281152.648030252","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","9220","64905","·······A·R··",,,,,"54"
"3925","1759281152.648038377","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2394","64904","·······A·R··",,,,,"54"
"3926","1759281152.648043293","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","25734","64903","·······A·R··",,,,,"54"
"3927","1759281152.648047918","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","668","64902","·······A·R··",,,,,"54"
"3928","1759281152.648052377","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1322","64901","·······A·R··",,,,,"54"
"3929","1759281152.648056460","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7627","64900","·······A·R··",,,,,"54"
"3930","1759281152.648060918","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","23502","64899","·······A·R··",,,,,"54"
"3931","1759281152.649151832","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64907","82","····CE····S·",,,,,"78"
